scenario,alpha,threshold,detected
main,0.01,5,1
main,0.01,10,1
main,0.01,15,1
main,0.01,20,1
main,0.01,30,0
main,0.01,50,0
main,0.05,5,1
main,0.05,10,1
main,0.05,15,1
main,0.05,20,1
main,0.05,30,0
main,0.05,50,0
main,0.10,5,1
main,0.10,10,1
main,0.10,15,1
main,0.10,20,1
main,0.10,30,0
main,0.10,50,0
regression_extra-allocation,0.01,5,1
regression_extra-allocation,0.01,10,1
regression_extra-allocation,0.01,15,1
regression_extra-allocation,0.01,20,1
regression_extra-allocation,0.01,30,1
regression_extra-allocation,0.01,50,1
regression_extra-allocation,0.05,5,1
regression_extra-allocation,0.05,10,1
regression_extra-allocation,0.05,15,1
regression_extra-allocation,0.05,20,1
regression_extra-allocation,0.05,30,1
regression_extra-allocation,0.05,50,1
regression_extra-allocation,0.10,5,1
regression_extra-allocation,0.10,10,1
regression_extra-allocation,0.10,15,1
regression_extra-allocation,0.10,20,1
regression_extra-allocation,0.10,30,1
regression_extra-allocation,0.10,50,1
regression_quadratic-dedup,0.01,5,1
regression_quadratic-dedup,0.01,10,1
regression_quadratic-dedup,0.01,15,1
regression_quadratic-dedup,0.01,20,1
regression_quadratic-dedup,0.01,30,1
regression_quadratic-dedup,0.01,50,1
regression_quadratic-dedup,0.05,5,1
regression_quadratic-dedup,0.05,10,1
regression_quadratic-dedup,0.05,15,1
regression_quadratic-dedup,0.05,20,1
regression_quadratic-dedup,0.05,30,1
regression_quadratic-dedup,0.05,50,1
regression_quadratic-dedup,0.10,5,1
regression_quadratic-dedup,0.10,10,1
regression_quadratic-dedup,0.10,15,1
regression_quadratic-dedup,0.10,20,1
regression_quadratic-dedup,0.10,30,1
regression_quadratic-dedup,0.10,50,1
regression_latency,0.01,5,1
regression_latency,0.01,10,1
regression_latency,0.01,15,1
regression_latency,0.01,20,1
regression_latency,0.01,30,1
regression_latency,0.01,50,1
regression_latency,0.05,5,1
regression_latency,0.05,10,1
regression_latency,0.05,15,1
regression_latency,0.05,20,1
regression_latency,0.05,30,1
regression_latency,0.05,50,1
regression_latency,0.10,5,1
regression_latency,0.10,10,1
regression_latency,0.10,15,1
regression_latency,0.10,20,1
regression_latency,0.10,30,1
regression_latency,0.10,50,1
regression_memory-growth,0.01,5,1
regression_memory-growth,0.01,10,1
regression_memory-growth,0.01,15,1
regression_memory-growth,0.01,20,1
regression_memory-growth,0.01,30,1
regression_memory-growth,0.01,50,1
regression_memory-growth,0.05,5,1
regression_memory-growth,0.05,10,1
regression_memory-growth,0.05,15,1
regression_memory-growth,0.05,20,1
regression_memory-growth,0.05,30,1
regression_memory-growth,0.05,50,1
regression_memory-growth,0.10,5,1
regression_memory-growth,0.10,10,1
regression_memory-growth,0.10,15,1
regression_memory-growth,0.10,20,1
regression_memory-growth,0.10,30,1
regression_memory-growth,0.10,50,1
